APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
"MONOPRIX EXPLOITATION, PAR ABREVIATION MPX",69003,Lyon 3e  Arrondissement,Satisfaisant, Autres,45.763256,4.85169,1,0,0,0,0,0,0
La Grange aux Dîmes (CARLI FOOD & CO),91320,WISSOUS,Très satisfaisant, Autres,48.731215,2.32673,1,0,0,0,0,0,0
TUCSON TRADING,78130,LES MUREAUX,Urgent_Améliorer, Autres,48.975153,1.912289,1,0,0,1,0,0,0
EARL SERENNE,85230,Beauvoir-sur-Mer,Très satisfaisant, Produits de la mer et d'eau douce,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
EARL DU ROTHENBACH,88250,La Bresse,Très satisfaisant, Lait et produits laitiers,48.031682,6.993752,1,0,1,0,0,0,0
COOPERATIVE LAITIERE DES ALPES DU SUD,05600,Eygliers,Urgent_Améliorer, Lait et produits laitiers,44.671166,6.616309,1,0,0,0,0,1,0
AU MARCHE DES SAVEURS,80270,AIRAINES,Satisfaisant, Autres,49.966966,1.941535,0,0,0,1,0,0,0
AU POTAGER DE NOTRE DAME,78000,VERSAILLES,Satisfaisant, Autres,48.806555,2.13102,1,0,0,0,0,0,0
GAEC DU SOUHEIL,37240,Cussay,Satisfaisant, Lait et produits laitiers,47.000429,0.783998,0,0,0,0,0,0,0
FJN DISTRIBUTION,92700,COLOMBES,Satisfaisant, Autres,48.921831,2.246867,1,0,0,0,0,0,0
CARREFOUR,13014,Marseille 14e  Arrondissement,Satisfaisant, Autres,43.328018,5.397611,1,1,0,0,0,0,0
Hôtel restauarnt Campanile (SASU FALKOR),29850,GOUESNOU,Très satisfaisant, Autres,48.43206,-4.462816,1,1,0,0,0,0,0
SOCIETE DE L'ABATTOIR CHATILLONNAIS,21400,Châtillon-sur-Seine,Satisfaisant, Abattoirs,47.87249,4.570458,0,1,0,0,0,0,0
CHEZ MOI ROBERT,94410,SAINT MAURICE,Satisfaisant, Autres,48.81591,2.459914,1,0,1,0,0,0,0
SOCIETE RUELLOISE DES VIANDES,16800,Soyaux,Très satisfaisant, Viandes et produits carnés,45.633776,0.206485,1,0,1,0,0,0,0
VALPARC,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
VERINE,17230,Charron,Très satisfaisant, Produits de la mer et d'eau douce,46.303053,-1.109823,1,0,0,0,0,0,0
LA CONSERVERIE CREOLE,97230,Sainte-Marie,Très satisfaisant, Autres,14.774064,-60.986602,0,0,0,0,0,0,0
STEPH&ALEX21,80210,FEUQUIERES EN VIMEU,Satisfaisant, Autres,50.060664,1.608475,1,0,0,1,0,0,0
METRO FRANCE,06200,Nice,Satisfaisant, Produits de la mer et d'eau douce,43.671014,7.208768,1,0,0,0,0,1,0
FRUIT PRIX,78180,MONTIGNY LE BRETONNEUX,Très satisfaisant, Autres,48.781184,2.042784,1,0,0,1,0,0,0
SKY KITCHENS RESTAURATION,90400,Andelnans,Satisfaisant, Autres,47.604209,6.859643,1,0,0,0,0,1,0
INSTITUT METIERS ARTISANAT 33,33300,Bordeaux,Satisfaisant, Viandes et produits carnés,44.851895,-0.587877,0,0,0,0,0,0,0
AU BEL HORIZON,75015,Paris 15e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.849918,2.292876,0,0,0,0,0,0,0
NACTIS FLAVOURS,67117,Furdenheim,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.613175,7.566601,1,0,0,0,0,0,0
ACCARY,62200,Boulogne-sur-Mer,Satisfaisant, Produits de la mer et d'eau douce,50.722518,1.593615,1,0,0,0,0,0,0
SOCIETE DE L'ABATTOIR CHATILLONNAIS,21400,Châtillon-sur-Seine,Satisfaisant, Abattoirs,47.87249,4.570458,0,1,0,0,0,0,0
ACCARY,62200,Boulogne-sur-Mer,Satisfaisant, Transport et entreposage de denrées alimentaires,50.722518,1.593615,1,0,0,0,0,0,0
ABATTOIR DE VOLAILLE MORAD BEN MIMOUN,30900,Nîmes,Satisfaisant, Abattoirs,45.88368247734546,1.8146273876131076,1,0,1,0,0,1,0
SEMAAC - SOCIETE D'ECONOMIE MIXTE DES ABATTOIRS ALES-CEVENNES,30100,Alès,Urgent_Améliorer, Abattoirs,44.14382,4.1079,1,1,0,0,0,0,0
DSK FISH,97200,Fort-de-France,Très satisfaisant, Produits de la mer et d'eau douce,14.616521,-61.044842,1,1,0,0,0,0,0
KARUDEV,97160,Le Moule,Satisfaisant, Viandes et produits carnés,16.308499,-61.393903,1,0,1,0,0,0,0
LE CHALET D'ALPAGE,29180,Locronan,Satisfaisant, Autres,48.098574,-4.206693,1,0,0,0,0,0,0
DELICES DES BARONNIES,05400,Le Saix,Satisfaisant, Viandes et produits carnés,44.475207,5.823036,0,0,0,0,0,0,0
DELPEYRAT,40380,Gibret,Urgent_Améliorer, Viandes et produits carnés,43.671482,-0.815268,1,0,0,0,0,1,0
SOC SURGERIENNE D'ABATTAGE,17700,Surgères,Très satisfaisant, Abattoirs,46.109276,-0.783931,1,0,0,0,0,0,0
JARAGOYHEN MICHEL,64130,Aussurucq,Très satisfaisant, Lait et produits laitiers,43.162751,-0.968523,1,0,0,0,0,0,0
NINA,75012,Paris 12e  Arrondissement,Satisfaisant, Autres,48.835382,2.385751,1,0,0,0,0,0,0
GAEC FERME DESMOULIN,24340,Mareuil en Périgord,Très satisfaisant, Viandes et produits carnés,45.382267,0.52367,1,0,0,0,0,0,0
JB OCEANE,29900,Concarneau,Très satisfaisant, Produits de la mer et d'eau douce,47.922024,-3.902023,1,0,0,0,0,0,0
CUMA HIRUAK-BAT,64430,Aldudes,Très satisfaisant, Lait et produits laitiers,43.096469,-1.42398,0,0,0,0,0,0,0
MONT,74500,Lugrin,Satisfaisant, Autres,46.399133,6.676069,1,0,0,0,0,0,0
MARCEL DELABRE - MA TRE CHARCUTIER,43200,Yssingeaux,Très satisfaisant, Viandes et produits carnés,45.145948,4.125918,1,0,0,0,1,0,0
